t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775087048.5512,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.5712,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.5912,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.6163,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.6311,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.6518,1500,1500,1831,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.6712,1500,1500,1831,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.6913,1500,1500,1830,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.7111,1500,1500,1830,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.7313,1500,1500,1829,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.7512,1500,1500,1829,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.7713,1500,1500,1827,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.7911,1500,1500,1827,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.8162,1500,1500,1826,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.8312,1500,1500,1824,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.8513,1500,1500,1823,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.8712,1500,1500,1822,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.8912,1500,1500,1821,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.9111,1500,1500,1821,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.9312,1500,1500,1820,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.9512,1500,1500,1820,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.9712,1500,1500,1820,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087048.9911,1500,1500,1820,1500,1939,1939,1500,1500,20.727726,-103.56686433,282.53,rc
1775087049.0113,1500,1500,1820,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.0312,1500,1500,1820,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.065,1500,1500,1820,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.0712,1500,1500,1821,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.0912,1500,1500,1821,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.1112,1500,1500,1821,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.1312,1500,1500,1821,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.1512,1500,1500,1820,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.1712,1500,1500,1820,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.1912,1500,1500,1818,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.2163,1500,1500,1818,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.2311,1500,1500,1817,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.2514,1500,1500,1817,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.2712,1500,1500,1817,1500,1939,1939,1500,1500,20.7277265,-103.5668665,281.77,rc
1775087049.2914,1500,1500,1817,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.3114,1500,1500,1817,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.3315,1500,1500,1817,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.3515,1500,1500,1817,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.3715,1500,1500,1816,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.3915,1500,1500,1816,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.4165,1500,1500,1816,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.4313,1500,1500,1816,1500,1939,1939,1500,1500,20.72772717,-103.56686917,280.23,rc
1775087049.4512,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
1775087049.4713,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
1775087049.4914,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
1775087049.5113,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
1775087049.5314,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
1775087049.5511,1500,1500,1816,1500,1939,1939,1500,1500,20.72772733,-103.56687083,280.84,rc
