t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092552.0362,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092552.0562,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092552.0761,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092552.0961,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092552.1166,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685817,276.68,rc
1775092552.1366,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685817,276.68,rc
1775092552.1563,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685817,276.68,rc
1775092552.1761,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685817,276.68,rc
1775092552.1963,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.2162,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.2364,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.2567,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.2766,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.2964,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.3162,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.3368,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.3562,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.3762,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.3962,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.4161,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
